Category Code,PEDSnet Table,PEDSnet Field,Lower Threshold,Upper Threshold
AA-004,Person,year_of_birth,,
AA-004,Person,month_of_birth,,
AA-004,Person,day_of_birth,,
AA-004,Person,time_of_birth,,
AA-004,Person,pn_gestational_age,,
AA-004,Person,person_source_value,,
AA-004,Person,gender_source_value,,
AA-004,Person,race_source_value,,
AA-004,Person,ethnicity_source_value,,
AA-004,Person,language_source_value,,
AA-004,Death,death_date,,
AA-004,Death,death_datetime,,
AA-004,Death,cause_source_value,,
AA-004,Location,state,,
AA-004,Location,zip,,
AA-004,Location,location_source_value,,
AA-004,Location,address_1,,
AA-004,Location,address_2,,
AA-004,Location,city,,
AA-004,Location,county,,
AA-004,Care_Site,care_site_name,,
AA-004,Care_Site,care_site_source_value,,
AA-004,Care_Site,place_of_service_source_value,,
AA-004,Care_Site,specialty_source_value,,
AA-004,Provider,provider_name,,
AA-004,Provider,year_of_birth,,
AA-004,Provider,NPI,,
AA-004,Provider,DEA,,
AA-004,Provider,provider_source_value,,
AA-004,Provider,specialty_source_value,,
AA-004,Provider,gender_source_value,,
AA-004,Visit_Occurrence,visit_start_date,,
AA-004,Visit_Occurrence,visit_end_date,,
AA-004,Visit_Occurrence,visit_start_datetime,,
AA-004,Visit_Occurrence,visit_end_datetime,,
AA-004,Visit_Occurrence,visit_source_value,,
AA-004,Condition_Occurrence,condition_start_date,,
AA-004,Condition_Occurrence,condition_end_date,,
AA-004,Condition_Occurrence,condition_start_datetime,,
AA-004,Condition_Occurrence,condition_end_datetime,,
AA-004,Condition_Occurrence,stop_reason,,
AA-004,Condition_Occurrence,provider_id,,
AA-004,Condition_Occurrence,condition_source_value,,
AA-004,Procedure_Occurrence,procedure_date,,
AA-004,Procedure_Occurrence,procedure_datetime,,
AA-004,Procedure_Occurrence,procedure_source_value,,
AA-004,Procedure_Occurrence,modifier_source_value,,
AA-004,Procedure_Occurrence,qualifier_source_value,,
AA-004,Observation,observation_date,,
AA-004,Observation,observation_datetime,,
AA-004,Observation,value_as_number,,
AA-004,Observation,value_as_string,,
AA-004,Observation,observation_source_value,,
AA-004,Observation,unit_source_value,,
AA-004,Observation,qualifier_source_value,,
AA-004,Observation_Period,observation_period_start_date,,
AA-004,Observation_Period,observation_period_end_date,,
AA-004,Observation_Period,observation_period_start_datetime,,
AA-004,Observation_Period,observation_period_end_datetime,,
AA-004,Drug_Exposure,drug_exposure_start_date,,
AA-004,Drug_Exposure,drug_exposure_end_date,,
AA-004,Drug_Exposure,drug_exposure_order_date,,
AA-004,Drug_Exposure,drug_exposure_start_datetime,,
AA-004,Drug_Exposure,drug_exposure_end_datetime,,
AA-004,Drug_Exposure,drug_exposure_order_datetime,,
AA-004,Drug_Exposure,stop_reason,,
AA-004,Drug_Exposure,refills,,
AA-004,Drug_Exposure,days_supply,,
AA-004,Drug_Exposure,sig,,
AA-004,Drug_Exposure,effective_drug_dose,,
AA-004,Drug_Exposure,eff_drug_dose_source_value,,
AA-004,Drug_Exposure,lot_number,,
AA-004,Drug_Exposure,drug_source_value,,
AA-004,Drug_Exposure,route_source_value,,
AA-004,Drug_Exposure,dose_unit_source_value,,
AA-004,Drug_Exposure,frequency,,
AA-004,Measurement,measurement_date,,
AA-004,Measurement,measurement_datetime,,
AA-004,Measurement,measurement_order_date,,
AA-004,Measurement,measurement_order_datetime,,
AA-004,Measurement,measurement_result_date,,
AA-004,Measurement,measurement_result_datetime,,
AA-004,Measurement,unit_source_value,,
AA-004,Measurement,specimen_source_value,,
AA-004,Measurement,priority_source_value,,
AA-004,Fact_Relationship,fact_id_1,,
AA-004,Fact_Relationship,fact_id_2,,
AA-004,Visit_Payer,plan_name,,
AA-004,Visit_Payer,plan_type,,
AA-004,Visit_Payer,plan_class,,
AA-004,Measurement_Organism,organism_source_value,,
AA-004,Measurement_Organism,positivity_datetime,,
