Category Code,PEDSnet_Table,PEDSnet_Field,Lower_Threshold,Upper_Threshold
AA-008,Person,gender_concept_id,0,0
AA-008,Person,race_concept_id,0,0
AA-008,Person,ethnicity_concept_id,0,0
AA-008,Person,language_concept_id,0,0
AA-008,Death,death_type_concept_id,0,0
AA-008,Death,cause_concept_id,0,0
AA-008,Death,death_impute_concept_id,0,0
AA-008,Care_Site,place_of_service_concept_id,0,0
AA-008,Care_Site,specialty_concept_id,0,0
AA-008,Provider,gender_concept_id,0,0
AA-008,Provider,specialty_concept_id,0,0
AA-008,Visit_Occurrence,visit_concept_id,0,0
AA-008,Visit_Occurrence,visit_type_concept_id,0,0
AA-008,Condition_Occurrence,condition_concept_id,0,0
AA-008,Condition_Occurrence,condition_type_concept_id,0,0
AA-008,Procedure_Occurrence,procedure_concept_id,0,0
AA-008,Procedure_Occurrence,modifier_concept_id,0,0
AA-008,Procedure_Occurrence,procedure_type_concept_id,0,0
AA-008,Observation,observation_type_concept_id,0,0
AA-008,Observation,value_as_concept_id,0,0
AA-008,Observation,qualifier_concept_id,0,0
AA-008,Observation,unit_concept_id,0,0
AA-008,Drug_Exposure,drug_concept_id,0,0
AA-008,Drug_Exposure,drug_type_concept_id,0,0
AA-008,Drug_Exposure,route_concept_id,0,0
AA-008,Drug_Exposure,dose_unit_concept_id,0,0
AA-008,Measurement,measurement_concept_id,0,0
AA-008,Measurement,measurement_type_concept_id,0,0
AA-008,Measurement,operator_concept_id,0,0
AA-008,Measurement,value_as_concept_id,0,0
AA-008,Measurement,unit_concept_id,0,0
AA-008,Measurement,range_low_operator_concept_id,0,0
AA-008,Measurement,range_high_operator_concept_id,0,0
AA-008,Measurement,priority_concept_id,0,0
AA-008,Fact_Relationship,domain_concept_id_1,0,0
AA-008,Fact_Relationship,domain_concept_id_2,0,0
AA-008,Fact_Relationship,relationship_concept_id,0,0
AA-008,measurement_organism,organism_concept_id,0,0
