Category Code,PEDSnet_Table,PEDSnet_Field_1,PEDSnet_Field_2,Lower_Threshold,Upper_Threshold
AA-009,Person,time_of_birth,year_of_birth,0,0
AA-009,Person,time_of_birth,month_of_birth,0,0
AA-009,Person,time_of_birth,day_of_birth,0,0
AA-009,Death,date_time,death_date,0,0
AA-009,Visit_Occurence,visit_start_time,visit_start_date,0,0
AA-009,Visit_Occurence,visit_end_time,visit_end_date,0,0
AA-009,Condition_Occurrence,condition_start_time,condition_start_date,0,0
AA-009,Condition_Occurrence,condition_end_time,condition_end_date,0,0
AA-009,Procedure_Occurrence,procedure_time,procedure_date,0,0
AA-009,Drug_exposure,drug_exposure_start_time,drug_exposure_start_date,0,0
AA-009,Drug_exposure,drug_exposure_end_time,drug_exposure_end_date,0,0
AA-009,Measurement,measurement_time,measurement_date,0,0
AA-009,Measurement,measurement_order_time,measurement_order_date,0,0
AA-009,Measurement,measurement_result_time,measurement_result_date,0,0
AA-009,adt_occurrence,adt_time,adt_date,0,0
