Category Code,PEDSnet_Table,PEDSnet_Field,Lower_Threshold,Upper_Threshold
CA-007,Visit_Occurrence,person_id,0,0
CA-007,Visit_Occurrence,provider_id,0,0
CA-007,Condition_Occurrence,person_id,0,0
CA-007,Condition_Occurrence,provider_id,0,0
CA-007,Condition_Occurrence,visit_occurrence_id,0,0
CA-007,Procedure_Occurrence,person_id,0,0
CA-007,Procedure_Occurrence,provider_id,0,0
CA-007,Procedure_Occurrence,visit_occurrence_id,0,0
CA-007,Drug_Exposure,person_id,0,0
CA-007,Drug_Exposure,provider_id,0,0
CA-007,Drug_Exposure,visit_occurrence_id,0,0
CA-007,Measurement,person_id,0,0
CA-007,Measurement,provider_id,0,0
CA-007,Measurement,visit_occurrence_id,0,0
CA-007,Person,care_site_id,0,0
