Category Code,PEDSnet Table,PEDSnet Field 1,PEDSnet Field 2,Lower Threshold,Upper Threshold
CA-015,Person,gender_concept_id,gender_source_value,0,0
CA-015,Person,race_concept_id,race_source_value,0,0
CA-015,Person,ethnicity_concept_id,ethnicity_source_value,0,0
CA-015,Person,language_concept_id,language_source_value,0,0
CA-015,Death,cause_concept_id,cause_source_value,0,0
CA-015,Care_Site,place_of_service_concept_id,place_of_service_source_value,0,0
CA-015,Care_Site,specialty_concept_id,specialty_source_value,0,0
CA-015,Provider,specialty_concept_id,specialty_source_value,0,0
CA-015,Provider,gender_concept_id,gender_source_value,0,0
CA-015,Visit_Occurence,visit_concept_id,visit_source_value,0,0
CA-015,Condition_Occurrence,condition_concept_id,condition_source_value,0,0
CA-015,Procedure_Occurrence,procedure_concept_id,procedure_source_value,0,0
CA-015,Procedure_Occurrence,modifier_concept_id,modifier_source_value,0,0
CA-015,Observation,observation_concept_id,observation_source_value,0,0
CA-015,Observation,unit_concept_id,unit_source_value,0,0
CA-015,Observation,qualifier_concept_id,qualifier_source_value,0,0
CA-015,Drug Exposure,drug_concept_id,drug_source_value,0,0
CA-015,Drug Exposure,route_concept_id,route_source_value,0,0
CA-015,Drug Exposure,dose_unit_concept_id,drug_unit_source_value,0,0
CA-015,Measurement,priority_concept_id,priority_source_value,0,0
CA-015,Measurement,measurement_concept_id,measurement_source_value,0,0
CA-015,Measurement,unit_concept_id,unit_source_value,0,0
CA-015,Measurement_Organism,organism_concept_id,organism_source_value,0,0
