Category Code,PEDSnet_Table,PEDSnet_Field_1,PEDSnet_Field_2,Lower_Threshold,Upper_Threshold
AA-009,Person,birth_datetime,year_of_birth,0,0
AA-009,Person,birth_datetime,month_of_birth,0,0
AA-009,Person,birth_datetime,day_of_birth,0,0
AA-009,Death,death_datetime,death_date,0,0
AA-009,Visit_Occurrence,visit_start_datetime,visit_start_date,0,0
AA-009,Visit_Occurrence,visit_end_datetime,visit_end_date,0,0
AA-009,Condition_Occurrence,condition_start_datetime,condition_start_date,0,0
AA-009,Condition_Occurrence,condition_end_datetime,condition_end_date,0,0
AA-009,Procedure_Occurrence,procedure_datetime,procedure_date,0,0
AA-009,Drug_exposure,drug_exposure_start_datetime,drug_exposure_start_date,0,0
AA-009,Drug_exposure,drug_exposure_end_datetime,drug_exposure_end_date,0,0
AA-009,Drug_exposure,drug_exposure_order_datetime,drug_exposure_order_date,0,0
AA-009,Measurement,measurement_datetime,measurement_date,0,0
AA-009,Measurement,measurement_order_datetime,measurement_order_date,0,0
AA-009,Measurement,measurement_result_datetime,measurement_result_date,0,0
AA-009,adt_occurrence,adt_datetime,adt_date,0,0
