Category Code,PEDSnet_Table,PEDSnet_Field,Lower_Threshold,Upper_Threshold
BA-002,Person,gender_concept_id,0,10
BA-002,Person,gender_source_concept_id,0,10
BA-002,Person,race_concept_id,0,10
BA-002,Person,race_source_concept_id,0,10
BA-002,Person,ethnicity_concept_id,0,10
BA-002,Person,ethnicity_source_concept_id,0,10
BA-002,Person,language_concept_id,0,10
BA-002,Person,language_source_concept_id,0,10
BA-002,Death,death_type_concept_id,0,10
BA-002,Death,cause_concept_id,0,10
BA-002,Death,cause_source_concept_id,0,10
BA-002,Death,death_impute_concept_id,0,10
BA-002,Care_Site,place_of_service_concept_id,0,10
BA-002,Care_Site,specialty_concept_id,0,10
BA-002,Provider,gender_concept_id,0,10
BA-002,Provider,specialty_concept_id,0,10
BA-002,Provider,specialty_source_concept_id,0,10
BA-002,Provider,gender_source_concept_id,0,10
BA-002,Visit_Occurrence,visit_concept_id,0,10
BA-002,Visit_Occurrence,visit_type_concept_id,0,10
BA-002,Visit_Occurrence,visit_source_concept_id,0,10
BA-002,Visit_Occurrence,admitting_source_concept_id,0,10
BA-002,Visit_Occurrence,discharge_to_concept_id,0,10
BA-002,Condition_Occurrence,condition_concept_id,0.1,10
BA-002,Condition_Occurrence,condition_type_concept_id,0,10
BA-002,Condition_Occurrence,condition_source_concept_id,0,10
BA-002,Procedure_Occurrence,procedure_concept_id,0.1,10
BA-002,Procedure_Occurrence,modifier_concept_id,0,10
BA-002,Procedure_Occurrence,procedure_type_concept_id,0,10
BA-002,Procedure_Occurrence,procedure_source_concept_id,0,10
BA-002,Observation,observation_type_concept_id,0,10
BA-002,Observation,value_as_concept_id,0,10
BA-002,Observation,qualifier_concept_id,0,10
BA-002,Observation,unit_concept_id,0,10
BA-002,Observation,observation_source_concept_id,0,10
BA-002,Drug_Exposure,drug_concept_id,0.1,10
BA-002,Drug_Exposure,drug_type_concept_id,0,10
BA-002,Drug_Exposure,route_concept_id,0,10
BA-002,Drug_Exposure,dose_unit_concept_id,0,10
BA-002,Drug_Exposure,drug_source_concept_id,0,10
BA-002,Measurement,measurement_concept_id,0.1,10
BA-002,Measurement,measurement_type_concept_id,0,10
BA-002,Measurement,operator_concept_id,0,10
BA-002,Measurement,value_as_concept_id,0,10
BA-002,Measurement,unit_concept_id,0,10
BA-002,Measurement,range_low_operator_concept_id,0,10
BA-002,Measurement,range_high_operator_concept_id,0,10
BA-002,Measurement,measurement_source_concept_id,0,10
BA-002,Measurement,priority_concept_id,0,10
BA-002,Fact_Relationship,domain_concept_id_1,0,10
BA-002,Fact_Relationship,domain_concept_id_2,0,10
BA-002,Measurement_organism,organism_concept_id,0,10
BA-002,Device_Exposure,device_concept_id,0,10
BA-002,Device_Exposure,device_source_concept_id,0,10
BA-002,Device_Exposure,device_type_concept_id,0,10
BA-002,adt_occurrence,service_concept_id,0,10
BA-002,adt_occurrence,adt_type_concept_id,0,10
BA-002,immunization,immunization_source_concept_id,0,10
BA-002,immunization,immunization_concept_id,0,10
BA-002,immunization,imm_route_concept_id,0,10
BA-002,immunization,imm_dose_unit_concept_id,0,10
