Category Code,PEDSnet_Table,PEDSnet_Field,Lower_Threshold,Upper_Threshold
CA-001,Death,death_date,0,0
CA-001,Visit_Occurrence,visit_start_date,0,0
CA-001,Visit_Occurrence,visit_end_date,0,0
CA-001,Visit_Occurrence,visit_start_datetime,0,0
CA-001,Visit_Occurrence,visit_end_datetime,0,0
CA-001,Condition_Occurrence,condition_start_date,0,0
CA-001,Condition_Occurrence,condition_end_date,0,0
CA-001,Condition_Occurrence,condition_start_datetime,0,0
CA-001,Condition_Occurrence,condition_end_datetime,0,0
CA-001,Procedure_Occurrence,procedure_date,0,0
CA-001,Observation,observation_date,0,0
CA-001,Drug_Exposure,drug_exposure_start_datetime,0,0
CA-001,Drug_Exposure,drug_exposure_end_datetime,0,0
CA-001,Drug_Exposure,drug_exposure_order_datetime,0,0
CA-001,Measurement,measurement_date,0,0
CA-001,Measurement,measurement_order_date,0,0
CA-001,Measurement,measurement_result_date,0,0
CA-001,Measurement_Organism,positivity_datetime,0,0
CA-001,ADT_Occurrence,adt_date,0,0
CA-001,Device_Exposure,device_exposure_start_date,0,0
CA-001,Device_Exposure,device_exposure_end_date,0,0
CA-001,Person,time_of_birth,0,0
CA-001,Immunization,immunization_date,0,0
