Category Code,PEDSnet_Table,PEDSnet_Field,Lower_Threshold,Upper_Threshold
CA-005,Person,N/A,0,10
CA-005,Death,N/A,0,10
CA-005,Location,N/A,0,10
CA-005,Care_Site,N/A,0,10
CA-005,Provider,N/A,0,10
CA-005,Visit_Occurrence,N/A,0,10
CA-005,Condition_Occurrence,N/A,0,20
CA-005,Procedure_Occurrence,N/A,0,20
CA-005,Drug_Exposure,N/A,0,20
CA-005,Measurement,N/A,0,35
CA-005,Fact_Relationship,N/A,0,20
CA-005,Visit_Payer,N/A,0,20
CA-005,Measurement_Organism,N/A,0,20
CA-005,Observation,N/A,0,20
CA-005,ADT_Occurrence,N/A,0,20
CA-005,Device_Exposure,N/A,0,20
CA-005,immunization,N/A,0,20
