Category Code,PEDSnet_Table,PEDSnet_Field_1,PEDSnet_Field_2,Lower_Threshold,Upper_Threshold
CA-014,Death,cause_concept_id,cause_source_value,0,0
CA-014,Care_Site,place_of_service_concept_id,place_of_service_source_value,0,0
CA-014,Care_Site,specialty_concept_id,specialty_source_value,0,0
CA-014,Provider,specialty_concept_id,specialty_source_value,0,0
CA-014,Provider,gender_concept_id,gender_source_value,0,0
CA-014,Visit_Occurrence,visit_concept_id,visit_source_value,0,0
CA-014,Visit_Occurrence,admitting_source_concept_id,admitting_source_concept_id,0,0
CA-014,Visit_Occurrence,discharge_to_concept_id,discharge_to_source_value,0,0
CA-014,Procedure_Occurrence,modifier_concept_id,modifier_source_value,0,0
CA-014,Observation,unit_concept_id,unit_source_value,0,0
CA-014,Observation,qualifier_concept_id,qualifier_source_value,0,0
CA-014,Drug_Exposure,drug_concept_id,drug_source_value,0,0
CA-014,Drug_Exposure,route_concept_id,route_source_value,0,0
CA-014,Drug_Exposure,dose_unit_concept_id,dose_unit_source_value,0,0
CA-014,Measurement,priority_concept_id,priority_source_value,0,0
CA-014,Measurement,unit_concept_id,unit_source_value,0,0
CA-014,Device_Exposure,device_concept_id,device_source_value,0,0
CA-014,immunization,imm_route_Concept_id,imm_route_source_value,0,0
CA-014,immunization,imm_dose_unit_Concept_id,imm_dose_unit_source_value,0,0
