concept_id,concept_name,,,,,,,,,,
4182354,Amharic language,,,,,,,,,,
4181374,Arabic language,,,,,,,,,,
4052786,Bengali language,,,,,,,,,,
4181727,Burmese language,,,,,,,,,,
40481563,Bosnian language,,,,,,,,,,
44814649,Other,,,,,,,,,,
4182948,Chinese Language,,,,,,,,,,
4177463,Cantonese Chinese dialect,,,,,,,,,,
4181724,Mandarin dialect,,,,,,,,,,
4180186,English Language,,,,,,,,,,
4180190,French Language,,,,,,,,,,
44802876,Haitian Creole Language,,,,,,,,,,
4181524,Japanese Language,,,,,,,,,,
4175771,Korean Language,,,,,,,,,,
4175908,Nepali language,,,,,,,,,,
44814650,No information,,,,,,,,,,
4181536,Portuguese language,,,,,,,,,,
4181539,Russian language,,,,,,,,,,
40483152,Sign language,,,,,,,,,,
4182350,Somali language,,,,,,,,,,
4182511,Spanish language,,,,,,,,,,
44814653,Unknown,,,,,,,,,,
4181526,Vietnamese language,,,,,,,,,,
