,ohdsi
1,75860
2,80205
3,81902
4,196523
5,254061
6,254320
7,257011
8,260125
9,313023
10,317002
11,317009
12,318459
13,319049
14,320073
15,320128
16,372328
17,372328
18,377091
19,380378
20,432870
21,435656
22,435656
23,435656
24,435796
25,436233
26,436676
27,437390
28,437986
29,438485
30,439156
31,439502
32,439777
33,440383
34,440525
35,441408
36,442588
37,443522
38,443522
39,444100
40,4115386
41,4147717
42,4149455
43,4165112
44,4195545
45,4202797
46,4272248
47,36675035
48,44784217
49,45757468
50,45771045
