,ohdsi
1,708298
2,708298
3,791967
4,791967
5,906780
6,906780
7,929887
8,951279
9,956874
10,961047
11,986417
12,989878
13,1000560
14,1000560
15,1000560
16,1110410
17,1114122
18,1126658
19,1129625
20,1136980
21,1149380
22,1154343
23,1301152
24,1308738
25,1367571
26,1367571
27,1518254
28,1518254
29,1707687
30,1707687
31,1713332
32,1713332
33,1717327
34,1746114
35,1771162
36,1836430
37,19004724
38,19006410
39,19008339
40,19011773
41,19035577
42,19037038
43,19049105
44,19052489
45,19052736
46,19088571
47,19092377
48,19095164
49,19111620
50,19137312
