,ohdsi
1,2006918
2,2008005
3,2008005
4,2008008
5,2008008
6,2008009
7,2008238
8,2008239
9,2008250
10,2008271
11,2106630
12,2108115
13,2211359
14,2211361
15,2211506
16,2211508
17,2211728
18,2211742
19,2211779
20,2211797
21,2212937
22,2212937
23,2212937
24,2212964
25,2212975
26,2213283
27,2213284
28,2313749
29,2313772
30,2313867
31,2313868
32,2313869
33,2313870
34,2314001
35,2314026
36,2314035
37,2314037
38,2314204
39,2314215
40,2314216
41,2314216
42,2314231
43,2314294
44,2314294
45,2314297
46,2314319
47,2514413
48,2514421
49,2514422
50,42738852
