concept_id,concept_name
3013762,Weight
3023540,Height
21490852,Invasive Mean arterial pressure (MAP)
21492241,Non-Invasive Mean arterial pressure (MAP)
3027018,Heart Rate
40762499,Oxygen Saturation (SpO2)
3024171,Respiration Rate
3038553,BMI kg/m2
3034703,Diastolic Blood Pressure - Sitting
3019962,Diastolic Blood Pressure - Standing
3013940,Diastolic Blood Pressure - Supine
3012888,Diastolic BP Unknown/Other
3018586,Systolic Blood Pressure - Sitting
3035856,Systolic Blood Pressure - Standing
3009395,Systolic Blood Pressure - Supine
3004249,Systolic BP Unknown/Other
2000000041,Weight for age z score NHANES
2000000042,Height for age z score NHANES
2000000043,BMI for age z score NHANES
2000000044,Weight for age z score WHO
2000000045,Height for age z score WHO
2000000046,Systolic BP for age/height Z score NCBPEP
2000000047,Diastolic BP for age/height Z score NCBPEP
3020891,Temperature
3001537,Head Circumference
